Time,Incidence Number,Imported Cases,date
302,5.0,15.0,2020-12-31
303,2.0,0.0,2021-01-01
304,0.0,4.0,2021-01-02
305,4.0,8.0,2021-01-03
306,4.0,4.0,2021-01-04
307,12.0,6.0,2021-01-05
308,4.0,6.0,2021-01-06
309,4.0,16.0,2021-01-07
310,7.0,5.0,2021-01-08
311,9.0,11.0,2021-01-09
312,2.0,2.0,2021-01-10
313,3.0,4.0,2021-01-11
314,9.0,4.0,2021-01-12
315,0.0,5.0,2021-01-13
316,6.0,6.0,2021-01-14
317,6.0,1.0,2021-01-15
318,4.0,5.0,2021-01-16
319,6.0,0.0,2021-01-17
320,3.0,1.0,2021-01-18
321,8.0,7.0,2021-01-19
322,1.0,4.0,2021-01-20
323,1.0,3.0,2021-01-21
324,3.0,3.0,2021-01-22
325,4.0,2.0,2021-01-23
326,1.0,0.0,2021-01-24
327,3.0,0.0,2021-01-25
328,6.0,0.0,2021-01-26
329,5.0,1.0,2021-01-27
330,8.0,1.0,2021-01-28
331,8.0,2.0,2021-01-29
332,6.0,1.0,2021-01-30
333,4.0,1.0,2021-01-31
334,0.0,4.0,2021-02-01
335,4.0,2.0,2021-02-02
336,1.0,0.0,2021-02-03
338,4.0,3.0,2021-02-05
339,1.0,2.0,2021-02-06
340,2.0,1.0,2021-02-07
341,2.0,0.0,2021-02-08
342,1.0,2.0,2021-02-09
343,4.0,1.0,2021-02-10
344,2.0,0.0,2021-02-11
345,3.0,0.0,2021-02-12
348,0.0,1.0,2021-02-15
349,4.0,3.0,2021-02-16
350,1.0,1.0,2021-02-17
351,1.0,1.0,2021-02-18
352,3.0,1.0,2021-02-19
353,1.0,1.0,2021-02-20
355,1.0,1.0,2021-02-22
356,1.0,0.0,2021-02-23
357,0.0,1.0,2021-02-24
358,1.0,2.0,2021-02-25
359,3.0,1.0,2021-02-26
360,0.0,1.0,2021-02-27
361,1.0,2.0,2021-02-28
363,4.0,0.0,2021-03-02
364,3.0,1.0,2021-03-03
365,5.0,3.0,2021-03-04
366,8.0,0.0,2021-03-05
367,5.0,5.0,2021-03-06
368,2.0,5.0,2021-03-07
369,4.0,1.0,2021-03-08
370,7.0,1.0,2021-03-09
371,15.0,0.0,2021-03-10
372,5.0,2.0,2021-03-11
373,3.0,1.0,2021-03-12
374,5.0,2.0,2021-03-13
375,8.0,0.0,2021-03-14
376,4.0,0.0,2021-03-15
377,6.0,1.0,2021-03-16
378,7.0,0.0,2021-03-17
379,8.0,1.0,2021-03-18
380,5.0,0.0,2021-03-19
381,6.0,3.0,2021-03-20
382,1.0,0.0,2021-03-21
383,3.0,4.0,2021-03-22
384,11.0,1.0,2021-03-23
385,13.0,1.0,2021-03-24
386,11.0,3.0,2021-03-25
387,14.0,1.0,2021-03-26
388,7.0,3.0,2021-03-27
389,5.0,1.0,2021-03-28
390,14.0,3.0,2021-03-29
391,6.0,1.0,2021-03-30
392,11.0,1.0,2021-03-31
393,7.0,1.0,2021-04-01
394,11.0,4.0,2021-04-02
395,10.0,4.0,2021-04-03
396,2.0,1.0,2021-04-04
397,6.0,0.0,2021-04-05
398,7.0,3.0,2021-04-06
399,4.0,0.0,2021-04-07
400,11.0,1.0,2021-04-08
401,6.0,0.0,2021-04-09
402,3.0,1.0,2021-04-10
403,6.0,0.0,2021-04-11
